# WorldMapArea bounds with each area's zone name, used to turn LootCollector
# map positions into server coordinates.
# Written by make_worldmaparea_bounds.py; do not edit by hand, regenerate.
# WorldMapArea.dbc md5 385136e35c9b279ff195a3414d59b9f8 (310 rows); AreaTable.dbc md5 84bc3244773e840e954f9b0cfbad5e65 (2849 rows)
wma_id	map	area_id	zone	wma_name	left	right	top	bottom
4	1	14	Durotar	Durotar	-1962	-7250	1808	-1716
9	1	215	Mulgore	Mulgore	2047	-3089	-272	-3697
11	1	17	The Barrens	Barrens	2622	-7510	1612	-5143
13	1	0		Kalimdor	17066	-19733	12799	-11733
14	0	0		Azeroth	18171	-22569	11176	-15973
15	0	36	Alterac Mountains	Alterac	783	-2016	1500	-366
16	0	45	Arathi Highlands	Arathi	-866	-4466	-133	-2533
17	0	3	Badlands	Badlands	-2079	-4566	-5889	-7547
19	0	4	Blasted Lands	BlastedLands	-1241	-4591	-10566	-12800
20	0	85	Tirisfal Glades	Tirisfal	3033	-1485	3837	824
21	0	130	Silverpine Forest	Silverpine	3450	-750	1666	-1133
22	0	28	Western Plaguelands	WesternPlaguelands	416	-3883	3366	500
23	0	139	Eastern Plaguelands	EasternPlaguelands	-2287	-6318	3704	1016
24	0	267	Hillsbrad Foothills	Hilsbrad	1066	-2133	400	-1733
26	0	47	The Hinterlands	Hinterlands	-1575	-5425	1466	-1100
27	0	1	Dun Morogh	DunMorogh	1802	-3122	-3877	-7160
28	0	51	Searing Gorge	SearingGorge	-322	-2554	-6100	-7587
29	0	46	Burning Steppes	BurningSteppes	-266	-3195	-7031	-8983
30	0	12	Elwynn Forest	Elwynn	1535	-1935	-7939	-10254
32	0	41	Deadwind Pass	DeadwindPass	-833	-3333	-9866	-11533
34	0	10	Duskwood	Duskwood	833	-1866	-9716	-11516
35	0	38	Loch Modan	LochModan	-1993	-4752	-4487	-6327
36	0	44	Redridge Mountains	Redridge	-1570	-3741	-8575	-10022
37	0	33	Stranglethorn Vale	Stranglethorn	2220	-4160	-11168	-15422
38	0	8	Swamp of Sorrows	SwampOfSorrows	-2222	-4516	-9620	-11150
39	0	40	Westfall	Westfall	3016	-483	-9400	-11733
40	0	11	Wetlands	Wetlands	-389	-4525	-2147	-4904
41	1	141	Teldrassil	Teldrassil	3814	-1277	11831	8437
42	1	148	Darkshore	Darkshore	2941	-3608	8333	3966
43	1	331	Ashenvale	Ashenvale	1700	-4066	4672	829
61	1	400	Thousand Needles	ThousandNeedles	-433	-4833	-3966	-6900
81	1	406	Stonetalon Mountains	StonetalonMountains	3245	-1637	2916	-339
101	1	405	Desolace	Desolace	4233	-262	452	-2545
121	1	357	Feralas	Feralas	5441	-1508	-2366	-7000
141	1	15	Dustwallow Marsh	Dustwallow	-974	-6225	-2033	-5533
161	1	440	Tanaris	Tanaris	-218	-7118	-5875	-10475
181	1	16	Azshara	Aszhara	-3277	-8347	5341	1960
182	1	361	Felwood	Felwood	1641	-4108	7133	3300
201	1	490	Un'Goro Crater	UngoroCrater	533	-3166	-5966	-8433
241	1	493	Moonglade	Moonglade	-1381	-3689	8491	6952
261	1	1377	Silithus	Silithus	2537	-945	-5958	-8281
281	1	618	Winterspring	Winterspring	-316	-7416	8533	3800
301	0	1519	Stormwind City	Stormwind	1722	-14	-7995	-9154
321	1	1637	Orgrimmar	Ogrimmar	-3680	-5083	2273	1338
341	0	1537	Ironforge	Ironforge	-713	-1504	-4569	-5096
362	1	1638	Thunder Bluff	ThunderBluff	516	-527	-849	-1545
381	1	1657	Darnassus	Darnassis	2938	1880	10238	9532
382	0	1497	Undercity	Undercity	873	-86	1877	1237
401	30	2597	Alterac Valley	AlteracValley	1781	-2456	1085	-1739
443	489	3277	Warsong Gulch	WarsongGulch	2041	895	1627	862
461	529	3358	Arathi Basin	ArathiBasin	1858	102	1508	337
462	530	3430	Eversong Woods	EversongWoods	-4487	-9412	11041	7758
463	530	3433	Ghostlands	Ghostlands	-5283	-8583	8266	6066
464	530	3524	Azuremyst Isle	AzuremystIsle	-10500	-14570	-2793	-5508
465	530	3483	Hellfire Peninsula	Hellfire	5539	375	1481	-1962
466	530	0		Expansion01	12996	-4468	5821	-5821
467	530	3521	Zangarmarsh	Zangarmarsh	9475	4447	1935	-1416
471	530	3557	The Exodar	TheExodar	-11066	-12123	-3609	-4314
473	530	3520	Shadowmoon Valley	ShadowmoonValley	4225	-1275	-1947	-5614
475	530	3522	Blade's Edge Mountains	BladesEdgeMountains	8845	3420	4408	791
476	530	3525	Bloodmyst Isle	BloodmystIsle	-10075	-13337	-758	-2933
477	530	3518	Nagrand	Nagrand	10295	4770	41	-3641
478	530	3519	Terokkar Forest	TerokkarForest	7083	1683	-999	-4600
479	530	3523	Netherstorm	Netherstorm	5483	-91	5456	1739
480	530	3487	Silvermoon City	SilvermoonCity	-6400	-7612	10153	9346
481	530	3703	Shattrath City	ShattrathCity	6135.2598	4829.0098	-1473.95	-2344.79
482	566	3820	Eye of the Storm	NetherstormArena	2660	389	2918	1404
485	571	0		Northrend	9762.5	-9077.0801	11106.2002	-1454.17
486	571	3537	Borean Tundra	BoreanTundra	8570	2806	4897	1054
488	571	65	Dragonblight	Dragonblight	3627	-1981	5575	1835
490	571	394	Grizzly Hills	GrizzlyHills	-1110	-6360	5516	2016
491	571	495	Howling Fjord	HowlingFjord	-1397	-7443	3116	-914
492	571	210	Icecrown	IcecrownGlacier	5443	-827	9427	5245
493	571	3711	Sholazar Basin	SholazarBasin	6929	2572	7287	4383
495	571	67	The Storm Peaks	TheStormPeaks	1841	-5270	10197	5456
496	571	66	Zul'Drak	ZulDrak	-600	-5593	7668	4339
499	530	4080	Isle of Quel'Danas	Sunwell	-5302	-8629	13568	11350
500	400	14000	Silithus	Silithus	2537	-945	-5958	-8281
501	571	4197	Wintergrasp	LakeWintergrasp	4329	1354	5716	3733
502	609	4298	Plaguelands: The Scarlet Enclave	ScarletEnclave	-4047	-7210	3087	979
504	571	4395	Dalaran	Dalaran	0	0	0	0
510	571	2817	Crystalsong Forest	CrystalsongForest	1443	-1279	6502	4687
512	607	4384	Strand of the Ancients	StrandoftheAncients	787	-956	1883	720
520	576	4265	The Nexus	TheNexus	0	0	0	0
521	595	4100	The Culling of Stratholme	CoTStratholme	2152	327	2297	1081
522	619	4494	Ahn'kahet: The Old Kingdom	Ahnkahet	-233	-1206	849	202
523	574	206	Utgarde Keep	UtgardeKeep	0	0	0	0
524	575	1196	Utgarde Pinnacle	UtgardePinnacle	3275	-3275	2166	-2200
525	602	4272	Halls of Lightning	HallsofLightning	2500	-899	2200	-66
526	599	4264	Halls of Stone	Ulduar77	2766	-633	2200	-66
527	616	4500	The Eye of Eternity	TheEyeofEternity	2766	-633	2200	-66
528	578	4228	The Oculus	Nexus80	2337	-262	1956	222
529	603	4273	Ulduar	Ulduar	1583	-1704	1168	-1022
530	604	4416	Gundrak	Gundrak	1168	255	2054	1473
531	615	4493	The Obsidian Sanctum	TheObsidianSanctum	1133	-29	3616	2841
532	624	4603	Vault of Archavon	VaultofArchavon	1033	-1566	600	-1133
533	601	4277	Azjol-Nerub	AzjolNerub	1020	-52	872	158
534	600	4196	Drak'Tharon Keep	DrakTharonKeep	-377	-1004	-168	-587
535	533	3456	Naxxramas	Naxxramas	-2520	-4377	3597	2360
536	608	4415	The Violet Hold	VioletHold	983	600	2006	1750
537	535	3458	Naxxramas	Naxxramas	-2520	-4377	3597	2360
540	628	4710	Isle of Conquest	IsleofConquest	525	-2125	1708	-58
541	571	4742	Hrothgar's Landing	HrothgarsLanding	2797	-879	10781	8329
542	650	4723	Trial of the Champion	TheArgentColiseum	2100	-500	2200	466
543	649	4722	Trial of the Crusader	TheArgentColiseum	2100	-500	2200	466
601	632	4809	The Forge of Souls	TheForgeofSouls	7033	-4366	6466	-1133
602	658	4813	Pit of Saron	PitofSaron	839	-693	1256	233
603	668	4820	Halls of Reflection	HallsofReflection	7033	-5966	6466	-2200
604	631	4812	Icecrown Citadel	IcecrownCitadel	6366	-5833	5933	-2200
609	724	4987	The Ruby Sanctum	TheRubySanctum	902	150	3429	2927
625	806	4999	Twisting Nether	TwistingNetherMap	1064	-1014	857	-527
626	726	5031	Twin Peaks	TwinPeaks	931	-283	2266	1456
666	666	209	Shadowfang Keep	ShadowfangKeep	4500	300	1133	-1666
680	389	2437	Ragefire Chasm	Ragefire	453	-286	40	-453
686	209	1176	Zul'Farrak	ZulFarrak	1625	241	2052	1129
688	48	719	Blackfathom Deeps	BlackfathomDeeps	503	-581	-88	-927
690	34	717	The Stockade	TheStockade	189	-186	220	-31
691	90	721	Gnomeregan	Gnomeregan	943	-278	-181	-967
692	70	1337	Uldaman	Uldaman	645	-249	271	-391
696	409	2717	Molten Core	MoltenCore	-131	-1396	1303	460
697	309	1977	Zul'Gurub	ZulGurub	-611	-2732	-11227	-12631
699	429	2557	Dire Maul	DireMaul	1075	-900	1050	-282
704	230	1584	Blackrock Depths	BlackrockDepths	572	-935	1500	259
710	540	3714	The Shattered Halls	TheShatteredHalls	631	-433	617	-92
717	509	3429	Ruins of Ahn'Qiraj	RuinsofAhnQiraj	3035	522	-8233	-9908
718	249	2159	Onyxia's Lair	OnyxiasLair	336.574	-444.297	119.197	-401.38
720	1383	5034		Uldum	2441.6699	-3752.0801	-8029.1699	-12158.2998
721	229	1583	Blackrock Spire	BlackrockSpire	11	-876	304	-289
722	558	3790	Auchenai Crypts	AuchenaiCrypts	328	-602	355	-210
723	556	3791	Sethekk Halls	SethekkHalls	516	-188	174	-295
724	555	3789	Shadow Labyrinth	ShadowLabyrinth	185	-656	63	-498
725	542	3713	The Blood Furnace	TheBloodFurnace	499	-505	603	-66
726	546	3716	The Underbog	TheUnderbog	241	-654	424	-173
727	545	3715	The Steamvault	TheSteamvault	160	-717	159	-426
728	547	3717	The Slave Pens	TheSlavePens	54	-836	202	-392
729	553	3847	The Botanica	TheBotanica	650	-108	248	-257
730	554	3849	The Mechanar	TheMechanar	334	-342	413	-101
731	552	3848	The Arcatraz	TheArcatraz	301	-423	575	-75
732	557	3792	Mana-Tombs	ManaTombs	277	-546	90	-459
733	269	2366	The Black Morass	CoTTheBlackMorass	7650	6562	-1500	-2225
734	560	2367	Old Hillsbrad Foothills	CoTHillsbradFoothills	1854	-477	3127	1572
749	43	718	Wailing Caverns	WailingCaverns	561	-376	214	-410
750	349	2100	Maraudon	Maraudon	479	-1159	1214	-208
753	645	4926	Blackrock Caverns	BlackrockCaverns	2100	-499.99	1133.33	-600
755	469	2677	Blackwing Lair	BlackwingLair	633	-2766	-6333	-8600
756	36	1581	The Deadmines	TheDeadmines	-517.35	-1016.61	65.33	-267.5
760	129	722	Razorfen Downs	RazorfenDowns	1280	571	2683	2210
761	47	491	Razorfen Kraul	RazorfenKraul	2059	1322	2350	1859
762	189	796	Scarlet Monastery	ScarletMonastery	1744	-562	2030	94
763	289	2057	Scholomance	Scholomance	633	-1166	600	-600
764	33	209	Shadowfang Keep	ShadowfangKeep	4500	300	1133	-1666
765	329	2017	Stratholme	Stratholme	-1766	-5166	4333	2066
766	531	3428	Ahn'Qiraj	AhnQiraj	2493	1554	-8051	-8704
775	534	3606	Hyjal Summit	CoTMountHyjal	-1525	-4025	6145	4479
776	565	3923	Gruul's Lair	GruulsLair	475	-50	338	-13
779	544	3836	Magtheridon's Lair	MagtheridonsLair	386	-171	255	-115
